Kinase,Score,Rank,Method,Perc,Qrt,group,KinaseFamily,subfamily,hgnc_symbol
PTK2,1.0151515151515156,22,PTM-SEA,0.45,2,TK,FAK,NA,PTK2
MAP2K7,0,24,PTM-SEA,0,1,STE,STE7,MEK7,MAP2K7
JAK2,13.208813589357455,14,PTM-SEA,0.675,3,TK,JAKA,NA,JAK2
MAP3K6,0,24,PTM-SEA,0,1,STE,STE11,ASK,MAP3K6
ABL1,-23.12192501928217,9,PTM-SEA,0.8,4,TK,ABL,NA,ABL1
EGFR,10.921393567747483,17,PTM-SEA,0.6,3,TK,EGFR,NA,EGFR
ERBB2,-42.601480922113744,2,PTM-SEA,0.975,4,TK,EGFR,NA,ERBB2
INSR,-3.0299310859684416,21,PTM-SEA,0.5,3,TK,INSR,NA,INSR
LCK,-32.32104244395053,7,PTM-SEA,0.85,4,TK,SRC,SRCB,LCK
FYN,0.01424495638977473,23,PTM-SEA,0.425,2,TK,SRC,SRCA,FYN
YES1,0,24,PTM-SEA,0,1,TK,SRC,SRCA,YES1
LYN,-55.66484088019268,1,PTM-SEA,1,4,TK,SRC,SRCB,LYN
RET,-16.177676869637097,12,PTM-SEA,0.725,3,TK,RET,NA,RET
IGF1R,-12.12163361221072,16,PTM-SEA,0.625,3,TK,INSR,NA,IGF1R
MET,-21.536840514566784,10,PTM-SEA,0.775,4,TK,MET,NA,MET
HCK,0,24,PTM-SEA,0,1,TK,SRC,SRCB,HCK
PDGFRB,-24.520740007552412,8,PTM-SEA,0.825,4,TK,PDGFR,NA,PDGFRB
FGR,0,24,PTM-SEA,0,1,TK,SRC,SRCA,FGR
SRC,-40.13241964801194,3,PTM-SEA,0.95,4,TK,SRC,SRCA,SRC
FER,0,24,PTM-SEA,0,1,TK,FER,NA,FER
JAK1,9.722861875849464,18,PTM-SEA,0.575,3,TK,JAKA,NA,JAK1
EPHA2,0,24,PTM-SEA,0,1,TK,EPH,NA,EPHA2
TYK2,0,24,PTM-SEA,0,1,TK,JAKA,NA,TYK2
KDR,-17.723359685301077,11,PTM-SEA,0.75,4,TK,VEGFR,NA,KDR
ZAP70,-7.041095092945374,20,PTM-SEA,0.525,3,TK,SYK,NA,ZAP70
SYK,8.121212121212118,19,PTM-SEA,0.55,3,TK,SYK,NA,SYK
MAP2K4,32.43058076468891,6,PTM-SEA,0.875,4,STE,STE7,MEK4,MAP2K4
MAP2K3,0,24,PTM-SEA,0,1,STE,STE7,MEK3,MAP2K3
BMX,1.0151515151515156,22,PTM-SEA,0.45,2,TK,TEC,NA,BMX
JAK3,-13.138978070080121,15,PTM-SEA,0.65,3,TK,JAKA,NA,JAK3
MAP2K6,0,24,PTM-SEA,0,1,STE,STE7,MEK3,MAP2K6
EPHA4,0,24,PTM-SEA,0,1,TK,EPH,NA,EPHA4
MAP2K1,0,24,PTM-SEA,0,1,STE,STE7,MEK1,MAP2K1
MST1R,0,24,PTM-SEA,0,1,TK,MET,NA,MST1R
ITK,39.60114388503399,4,PTM-SEA,0.925,4,TK,TEC,NA,ITK
PTK6,-36.504629257716,5,PTM-SEA,0.9,4,TK,SRC,SRM,PTK6
PTK2B,0,24,PTM-SEA,0,1,TK,FAK,NA,PTK2B
ERBB4,0,24,PTM-SEA,0,1,TK,EGFR,NA,ERBB4
NTRK2,-15.854961832061068,13,PTM-SEA,0.7,3,TK,TRK,NA,NTRK2
MAP3K5,0,24,PTM-SEA,0,1,STE,STE11,ASK,MAP3K5
ALK,0,24,PTM-SEA,0,1,TK,ALK,NA,ALK
AAK1,314,289,KEA3,0.05714285714285714,1,OTHER,NAK,BIKE,AAK1
ABL1,27.333333333333336,16,KEA3,0.9542857142857143,4,TK,ABL,NA,ABL1
ABL2,89.33333333333333,84,KEA3,0.7285714285714285,3,TK,ABL,NA,ABL2
ACVR1,179.5,190,KEA3,0.36857142857142855,2,TKL,STKR,TYPE1,ACVR1
ACVR1B,199.5,213,KEA3,0.3,2,TKL,STKR,TYPE1,ACVR1B
ACVR2B,44,34,KEA3,0.9,4,TKL,STKR,TYPE2,ACVR2B
AKT1,63,56,KEA3,0.8257142857142857,4,AGC,AKT,NA,AKT1
AKT2,134.66666666666666,143,KEA3,0.5257142857142857,3,AGC,AKT,NA,AKT2
AKT3,207,219,KEA3,0.28285714285714286,2,AGC,AKT,NA,AKT3
ALK,39.5,27,KEA3,0.92,4,TK,ALK,NA,ALK
ARAF,58.5,51,KEA3,0.8457142857142858,4,TKL,RAF,RAF,ARAF
ATM,116.66666666666667,115,KEA3,0.6257142857142857,3,ATYPICAL,PIKK,ATM,ATM
ATR,110.66666666666667,110,KEA3,0.6428571428571429,3,ATYPICAL,PIKK,ATR,ATR
AURKA,130.66666666666666,137,KEA3,0.5485714285714286,3,OTHER,AUR,NA,AURKA
AURKB,82,74,KEA3,0.76,4,OTHER,AUR,NA,AURKB
AURKC,186,196,KEA3,0.3514285714285714,2,OTHER,AUR,NA,AURKC
AXL,149.5,157,KEA3,0.4742857142857143,2,TK,AXL,NA,AXL
BLK,249,250,KEA3,0.17714285714285713,1,TK,SRC,SRCB,BLK
BMP2K,328,300,KEA3,0.025714285714285714,1,OTHER,NAK,BIKE,BMP2K
BMPR1A,76,70,KEA3,0.7742857142857142,4,TKL,STKR,TYPE1,BMPR1A
BMPR1B,132,138,KEA3,0.5428571428571428,3,TKL,STKR,TYPE1,BMPR1B
BMPR2,212.5,222,KEA3,0.2742857142857143,2,TKL,STKR,TYPE2,BMPR2
BMX,58,50,KEA3,0.8485714285714285,4,TK,TEC,NA,BMX
BRAF,183.5,195,KEA3,0.35428571428571426,2,TKL,RAF,RAF,BRAF
BRSK1,227.66666666666666,238,KEA3,0.22285714285714286,1,CAMK,CAMKL,BRSK,BRSK1
BRSK2,291,281,KEA3,0.08,1,CAMK,CAMKL,BRSK,BRSK2
BTK,75.66666666666667,69,KEA3,0.7828571428571428,4,TK,TEC,NA,BTK
BUB1,202.5,215,KEA3,0.29428571428571426,2,OTHER,BUB,NA,BUB1
CAMK1,196.33333333333334,209,KEA3,0.31142857142857144,2,CAMK,CAMK1,NA,CAMK1
CAMK1D,237,244,KEA3,0.2,1,CAMK,CAMK1,NA,CAMK1D
CAMK2A,99.33333333333333,99,KEA3,0.68,3,CAMK,CAMK2,NA,CAMK2A
CAMK2B,126.5,131,KEA3,0.5685714285714286,3,CAMK,CAMK2,NA,CAMK2B
CAMK2D,123.66666666666667,126,KEA3,0.5828571428571429,3,CAMK,CAMK2,NA,CAMK2D
CAMK2G,90,86,KEA3,0.72,3,CAMK,CAMK2,NA,CAMK2G
