Kinase,Z,method,AvgZ
ACK,1.95,640125515>0.15,2.4475
RET,-1.82,640125515>0.15,-1.5075
JAK,-1.79,640125515>0.15,-1.2775
SEV,1.78,640125515>0.15,0.7825
SRC,-1.62,640125515>0.15,-2.69
SYK,-1.58,640125515>0.15,-1.8275000000000001
FGFR,-1.3,640125515>0.15,-1.7625
ALK,-1.15,640125515>0.15,-1.555
DDR,0.97,640125515>0.15,0.4
TRK,-0.86,640125515>0.15,-1.32
FER,0.81,640125515>0.15,1
AXL,0.78,640125515>0.15,0.4225
RYK,-0.77,640125515>0.15,-0.6025
TEC,-0.74,640125515>0.15,-1.1125
ABL,-0.69,640125515>0.15,-1.2875
FAK,-0.5,640125515>0.15,-1.135
INSR,0.39,640125515>0.15,-0.26749999999999996
EGFR,-0.27,640125515>0.15,-0.7825
CSK,0.22,640125515>0.15,-0.3925
MET,0.2,640125515>0.15,-1.1025
PDGFR,-0.16,640125515>0.15,-0.69
FRK,0.11,640125515>0.15,0.2025
EPH,-0.1,640125515>0.15,-0.6599999999999999
VEGFR,0.02,640125515>0.15,1.065
SYK,-2.53,640125515>0.2,-1.8275000000000001
FGFR,-2.21,640125515>0.2,-1.7625
ACK,2.09,640125515>0.2,2.4475
SEV,2.08,640125515>0.2,0.7825
SRC,-2.01,640125515>0.2,-2.69
RET,-1.67,640125515>0.2,-1.5075
JAK,-1.35,640125515>0.2,-1.2775
ABL,-1.32,640125515>0.2,-1.2875
ALK,-1.23,640125515>0.2,-1.555
FER,1.22,640125515>0.2,1
FAK,-1.21,640125515>0.2,-1.135
MET,-1.08,640125515>0.2,-1.1025
TRK,-0.97,640125515>0.2,-1.32
TEC,-0.93,640125515>0.2,-1.1125
PDGFR,-0.81,640125515>0.2,-0.69
DDR,0.77,640125515>0.2,0.4
VEGFR,0.72,640125515>0.2,1.065
RYK,-0.65,640125515>0.2,-0.6025
INSR,0.57,640125515>0.2,-0.26749999999999996
EGFR,-0.51,640125515>0.2,-0.7825
FRK,-0.23,640125515>0.2,0.2025
AXL,0.21,640125515>0.2,0.4225
CSK,0.18,640125515>0.2,-0.3925
EPH,0.17,640125515>0.2,-0.6599999999999999
SRC,-3.43,640125515>0.3,-2.69
ACK,2.68,640125515>0.3,2.4475
ALK,-2.17,640125515>0.3,-1.555
MET,-1.96,640125515>0.3,-1.1025
TRK,-1.84,640125515>0.3,-1.32
FGFR,-1.8,640125515>0.3,-1.7625
VEGFR,1.78,640125515>0.3,1.065
FAK,-1.45,640125515>0.3,-1.135
ABL,-1.44,640125515>0.3,-1.2875
RET,-1.35,640125515>0.3,-1.5075
SYK,-1.34,640125515>0.3,-1.8275000000000001
INSR,-1.2,640125515>0.3,-0.26749999999999996
JAK,-1.2,640125515>0.3,-1.2775
TEC,-1.19,640125515>0.3,-1.1125
EGFR,-1.18,640125515>0.3,-0.7825
EPH,-1.01,640125515>0.3,-0.6599999999999999
PDGFR,-0.94,640125515>0.3,-0.69
CSK,-0.89,640125515>0.3,-0.3925
FER,0.8,640125515>0.3,1
RYK,-0.52,640125515>0.3,-0.6025
SEV,-0.38,640125515>0.3,0.7825
FRK,0.32,640125515>0.3,0.2025
DDR,0.27,640125515>0.3,0.4
AXL,0.23,640125515>0.3,0.4225
SRC,-3.7,640125515>0.4,-2.69
ACK,3.07,640125515>0.4,2.4475
SYK,-1.86,640125515>0.4,-1.8275000000000001
FGFR,-1.74,640125515>0.4,-1.7625
VEGFR,1.74,640125515>0.4,1.065
ABL,-1.7,640125515>0.4,-1.2875
EPH,-1.7,640125515>0.4,-0.6599999999999999
ALK,-1.67,640125515>0.4,-1.555
TRK,-1.61,640125515>0.4,-1.32
TEC,-1.59,640125515>0.4,-1.1125
MET,-1.57,640125515>0.4,-1.1025
FAK,-1.38,640125515>0.4,-1.135
RET,-1.19,640125515>0.4,-1.5075
EGFR,-1.17,640125515>0.4,-0.7825
FER,1.17,640125515>0.4,1
CSK,-1.08,640125515>0.4,-0.3925
PDGFR,-0.85,640125515>0.4,-0.69
INSR,-0.83,640125515>0.4,-0.26749999999999996
JAK,-0.77,640125515>0.4,-1.2775
FRK,0.61,640125515>0.4,0.2025
AXL,0.47,640125515>0.4,0.4225
RYK,-0.47,640125515>0.4,-0.6025
DDR,-0.41,640125515>0.4,0.4
SEV,-0.35,640125515>0.4,0.7825
