Kinase,Z,method,AvgZ
DDR,3.22,640125510>0.15,3.355
EGFR,2.47,640125510>0.15,2.4025
FRK,1.73,640125510>0.15,1.8675
MET,1.68,640125510>0.15,1.69
INSR,1.29,640125510>0.15,1.4975
FAK,1.25,640125510>0.15,1.51
AXL,-1.2,640125510>0.15,-1.1524999999999999
TEC,1.16,640125510>0.15,1.4075
ALK,1.11,640125510>0.15,1.1600000000000001
ACK,1.06,640125510>0.15,1.1175
SEV,-0.94,640125510>0.15,-0.9025
RET,0.93,640125510>0.15,1.0125
JAK,-0.91,640125510>0.15,-0.6975
FER,0.56,640125510>0.15,0.6825
FGFR,-0.48,640125510>0.15,-0.4375
EPH,-0.42,640125510>0.15,-0.155
SRC,0.39,640125510>0.15,0.8025
TRK,0.36,640125510>0.15,0.5525
PDGFR,-0.3,640125510>0.15,-0.075
CSK,-0.23,640125510>0.15,0.055
SYK,0.2,640125510>0.15,0.3775
RYK,0.15,640125510>0.15,0.18
ABL,0.14,640125510>0.15,0.23
VEGFR,-0.14,640125510>0.15,-0.40249999999999997
DDR,3.45,640125510>0.2,3.355
EGFR,2.65,640125510>0.2,2.4025
FRK,1.84,640125510>0.2,1.8675
MET,1.75,640125510>0.2,1.69
INSR,1.39,640125510>0.2,1.4975
FAK,1.36,640125510>0.2,1.51
TEC,1.3,640125510>0.2,1.4075
ALK,1.26,640125510>0.2,1.1600000000000001
ACK,1.08,640125510>0.2,1.1175
AXL,-0.97,640125510>0.2,-1.1524999999999999
RET,0.97,640125510>0.2,1.0125
SRC,0.97,640125510>0.2,0.8025
SEV,-0.9,640125510>0.2,-0.9025
JAK,-0.81,640125510>0.2,-0.6975
FER,0.65,640125510>0.2,0.6825
TRK,0.47,640125510>0.2,0.5525
VEGFR,-0.42,640125510>0.2,-0.40249999999999997
FGFR,-0.33,640125510>0.2,-0.4375
SYK,0.33,640125510>0.2,0.3775
ABL,0.3,640125510>0.2,0.23
EPH,-0.21,640125510>0.2,-0.155
RYK,0.15,640125510>0.2,0.18
PDGFR,0.12,640125510>0.2,-0.075
CSK,0,640125510>0.2,0.055
DDR,3.29,640125510>0.3,3.355
EGFR,2.36,640125510>0.3,2.4025
FRK,1.92,640125510>0.3,1.8675
TEC,1.67,640125510>0.3,1.4075
INSR,1.61,640125510>0.3,1.4975
FAK,1.61,640125510>0.3,1.51
MET,1.58,640125510>0.3,1.69
AXL,-1.3,640125510>0.3,-1.1524999999999999
ALK,1.23,640125510>0.3,1.1600000000000001
ACK,1.14,640125510>0.3,1.1175
RET,1.02,640125510>0.3,1.0125
SEV,-0.88,640125510>0.3,-0.9025
SRC,0.79,640125510>0.3,0.8025
FER,0.73,640125510>0.3,0.6825
TRK,0.63,640125510>0.3,0.5525
VEGFR,-0.61,640125510>0.3,-0.40249999999999997
JAK,-0.61,640125510>0.3,-0.6975
SYK,0.6,640125510>0.3,0.3775
FGFR,-0.4,640125510>0.3,-0.4375
ABL,0.33,640125510>0.3,0.23
CSK,0.26,640125510>0.3,0.055
RYK,0.16,640125510>0.3,0.18
PDGFR,-0.1,640125510>0.3,-0.075
EPH,-0.07,640125510>0.3,-0.155
DDR,3.46,640125510>0.4,3.355
EGFR,2.13,640125510>0.4,2.4025
FRK,1.98,640125510>0.4,1.8675
FAK,1.82,640125510>0.4,1.51
MET,1.75,640125510>0.4,1.69
INSR,1.7,640125510>0.4,1.4975
TEC,1.5,640125510>0.4,1.4075
ACK,1.19,640125510>0.4,1.1175
AXL,-1.14,640125510>0.4,-1.1524999999999999
RET,1.13,640125510>0.4,1.0125
SRC,1.06,640125510>0.4,0.8025
ALK,1.04,640125510>0.4,1.1600000000000001
SEV,-0.89,640125510>0.4,-0.9025
FER,0.79,640125510>0.4,0.6825
TRK,0.75,640125510>0.4,0.5525
FGFR,-0.54,640125510>0.4,-0.4375
JAK,-0.46,640125510>0.4,-0.6975
VEGFR,-0.44,640125510>0.4,-0.40249999999999997
SYK,0.38,640125510>0.4,0.3775
RYK,0.26,640125510>0.4,0.18
CSK,0.19,640125510>0.4,0.055
ABL,0.15,640125510>0.4,0.23
EPH,0.08,640125510>0.4,-0.155
PDGFR,-0.02,640125510>0.4,-0.075
