Group,Barcode,SampleName,Peptide,slope,r.seq,nobs
Pat27P,710418101,Pat27P_710418101_A1,CDN1A_139_151,9.278756260745789,0.9999524625856928,5
Pat27P,710418101,Pat27P_710418101_A1,LIPS_944_956,4.836229035422533,0.9956026964105771,5
Pat27P,710418101,Pat27P_710418101_A1,PLEK_106_118,8.944062817528666,0.9999003590268054,5
Pat27P,710418101,Pat27P_710418101_A1,ACM1_421_433,4.217523381814712,0.9904600839480011,5
Pat27P,710418101,Pat27P_710418101_A1,FOXO3_25_37,5.392317422778761,0.9958670643374521,5
Pat27P,710418101,Pat27P_710418101_A1,LMNA_192_204,4.466836399859049,0.9757785860422823,5
Pat27P,710418101,Pat27P_710418101_A1,RBL2_655_667,6.577001215018473,0.999600216133153,5
Pat27P,710418101,Pat27P_710418101_A1,KAP2_92_104,6.849980382323771,0.9998608042539762,5
Pat27P,710418101,Pat27P_710418101_A1,RS6_228_240,7.707749806373352,0.9999253923174938,5
Pat27P,710418101,Pat27P_710418101_A1,ACM1_444_456,4.743754759828845,0.9959498172478515,5
Pat27P,710418101,Pat27P_710418101_A1,CENPA_1_14,6.08746284125034,0.9991519895629485,5
Pat27P,710418101,Pat27P_710418101_A1,FRAP_2443_2455,3.4420045468791134,0.9781132075471698,5
Pat27P,710418101,Pat27P_710418101_A1,LMNB1_16_28,3.890465047695408,0.9878413815158299,5
Pat27P,710418101,Pat27P_710418101_A1,NEK2_172_184,4.7599195792598525,0.9986517376312425,5
Pat27P,710418101,Pat27P_710418101_A1,PPR1A_28_40,5.957704385163156,0.999244472604304,5
Pat27P,710418101,Pat27P_710418101_A1,ADRB2_338_350,6.917287628211485,0.9994835603453064,5
Pat27P,710418101,Pat27P_710418101_A1,RYR1_4317_4329,6.951559644942247,0.9999442327353844,5
Pat27P,710418101,Pat27P_710418101_A1,ACM4_456_468,3.8719923876239286,0.9966501158556769,5
Pat27P,710418101,Pat27P_710418101_A1,BAD_69_81,2.951559644942247,0.96698113207547165,5
Pat27P,710418101,Pat27P_710418101_A1,KAPCG_192_206,4.063242433991819,0.9980623506077404,5
Pat27P,710418101,Pat27P_710418101_A1,MARCS_152_164,3.5388660861317027,0.9727645611156686,5
Pat27P,710418101,Pat27P_710418101_A1,NEK3_158_170,3.672958981718985,0.9797941680960548,5
Pat27P,710418101,Pat27P_710418101_A1,PRKDC_2618_2630,3.933857643208788,0.9983262325015216,5
Pat27P,710418101,Pat27P_710418101_A1,REL_260_272,3.8532801273617583,0.9610128406708596,5
Pat27P,710418101,Pat27P_710418101_A1,KCNA1_438_450,3.1668973087447445,0.9628420873703892,5
Pat27P,710418101,Pat27P_710418101_A1,SCN7A_898_910,5.181972629206843,0.9921140651801029,5
Pat27P,710418101,Pat27P_710418101_A1,ACM5_494_506,4.655783837910853,0.9905083240843507,5
Pat27P,710418101,Pat27P_710418101_A1,BAD_93_105,5.793679985160527,0.9995513143713545,5
Pat27P,710418101,Pat27P_710418101_A1,CSF1R_701_713,6.094650376386969,0.9993786870459753,5
Pat27P,710418101,Pat27P_710418101_A1,GPR6_349_361,4.587229107693101,0.9994802699640377,5
Pat27P,710418101,Pat27P_710418101_A1,KCNA2_442_454,4.0697410712905615,0.9858366107432668,5
Pat27P,710418101,Pat27P_710418101_A1,MARCS_160_172,4.370111628397328,0.9940549486924859,5
Pat27P,710418101,Pat27P_710418101_A1,NMDZ1_890_902,8.293753588295171,0.9999137674514639,5
Pat27P,710418101,Pat27P_710418101_A1,PTK6_436_448,7.834321969657873,0.9994159511777152,5
Pat27P,710418101,Pat27P_710418101_A1,CAC1C_1974_1986,7.011860155210061,0.999487284659557,5
Pat27P,710418101,Pat27P_710418101_A1,KPB1_1011_1023,5.800533656201591,0.9995367782491958,5
Pat27P,710418101,Pat27P_710418101_A1,ACM5_498_510,4.013546531837948,0.99605241694307,5
Pat27P,710418101,Pat27P_710418101_A1,BCKD_45_57,4.370111628397328,0.9940549486924859,5
Pat27P,710418101,Pat27P_710418101_A1,GPSM2_394_406,4.257921482440142,0.9958893495021502,5
Pat27P,710418101,Pat27P_710418101_A1,MBP_222_234,5.274894561043856,0.9955795148247978,5
Pat27P,710418101,Pat27P_710418101_A1,NOS3_1171_1183,7.353562983530474,0.9997086597871204,5
Pat27P,710418101,Pat27P_710418101_A1,STK6_283_295,7.451366650082805,0.9989631906199541,5
Pat27P,710418101,Pat27P_710418101_A1,VASP_271_283,6.488825403632107,0.9996770339361446,5
Pat27P,710418101,Pat27P_710418101_A1,ADDB_696_708,4.126947928697037,0.9937833201984145,5
Pat27P,710418101,Pat27P_710418101_A1,GSUB_61_73,3.905074742579759,0.991251572327044,5
Pat27P,710418101,Pat27P_710418101_A1,NR4A1_344_356,4.0762105666201185,0.9869060555171393,5
Pat27P,710418101,Pat27P_710418101_A1,RAF1_253_265,4.079434467494405,0.9759968877650262,5
Pat27P,710418101,Pat27P_710418101_A1,STMN2_90_102,3.486398666237567,0.9732869910625621,5
Pat27P,710418101,Pat27P_710418101_A1,CGHB_109_121,5.961203950350059,0.9982571340677371,5
Pat27P,710418101,Pat27P_710418101_A1,NCF1_296_308,9.411710832181456,0.9998789493767208,5
Pat27P,710418101,Pat27P_710418101_A1,VTNC_390_402,7.838133583607893,0.9999324533414113,5
Pat27P,710418101,Pat27P_710418101_A1,ADDB_706_718,5.884948042727841,0.9989392902532017,5
Pat27P,710418101,Pat27P_710418101_A1,GYS2_1_13,7.0072124295767475,0.9994049809944789,5
Pat27P,710418101,Pat27P_710418101_A1,RAP1B_172_184,3.8381335836078927,0.9855300171526586,5
