Kinase,Score,Rank,Method,Perc,Qrt,group,KinaseFamily,subfamily,hgnc_symbol
PTK2,-54.55720404305854,4,PTM-SEA,0.9302325581395349,4,TK,FAK,NA,PTK2
MAP2K7,0,26,PTM-SEA,0,1,STE,STE7,MEK7,MAP2K7
JAK2,-22.581463811986218,15,PTM-SEA,0.6744186046511628,3,TK,JAKA,NA,JAK2
MAP3K6,0,26,PTM-SEA,0,1,STE,STE11,ASK,MAP3K6
ABL1,1.2607668670127101,25,PTM-SEA,0.4418604651162791,2,TK,ABL,NA,ABL1
EGFR,34.33436737041908,9,PTM-SEA,0.813953488372093,4,TK,EGFR,NA,EGFR
ERBB2,13.901664398151546,20,PTM-SEA,0.5581395348837209,3,TK,EGFR,NA,ERBB2
INSR,-17.90350393322697,19,PTM-SEA,0.5813953488372093,3,TK,INSR,NA,INSR
LCK,47.52769514709005,5,PTM-SEA,0.9069767441860465,4,TK,SRC,SRCB,LCK
FYN,13.820330700275212,21,PTM-SEA,0.5348837209302325,3,TK,SRC,SRCA,FYN
YES1,0,26,PTM-SEA,0,1,TK,SRC,SRCA,YES1
LYN,-45.30778763382007,6,PTM-SEA,0.8837209302325582,4,TK,SRC,SRCB,LYN
RET,-24.727247964605063,13,PTM-SEA,0.7209302325581395,3,TK,RET,NA,RET
IGF1R,23.21578473559342,14,PTM-SEA,0.6976744186046512,3,TK,INSR,NA,IGF1R
MET,-43.69829686221204,7,PTM-SEA,0.8604651162790697,4,TK,MET,NA,MET
HCK,0,26,PTM-SEA,0,1,TK,SRC,SRCB,HCK
PDGFRB,-27.0156970363187,10,PTM-SEA,0.7906976744186046,4,TK,PDGFR,NA,PDGFRB
FGR,0,26,PTM-SEA,0,1,TK,SRC,SRCA,FGR
SRC,-25.615295543639757,12,PTM-SEA,0.7441860465116279,3,TK,SRC,SRCA,SRC
FER,0,26,PTM-SEA,0,1,TK,FER,NA,FER
FGFR3,0,26,PTM-SEA,0,1,TK,FGFR,NA,FGFR3
JAK1,35.37489653447447,8,PTM-SEA,0.8372093023255814,4,TK,JAKA,NA,JAK1
EPHA2,0,26,PTM-SEA,0,1,TK,EPH,NA,EPHA2
TYK2,0,26,PTM-SEA,0,1,TK,JAKA,NA,TYK2
FLT4,0,26,PTM-SEA,0,1,TK,VEGFR,NA,FLT4
KDR,-21.507098842222625,16,PTM-SEA,0.6511627906976745,3,TK,VEGFR,NA,KDR
MAP2K2,0,26,PTM-SEA,0,1,STE,STE7,MEK1,MAP2K2
ZAP70,-18.549444542354003,18,PTM-SEA,0.6046511627906976,3,TK,SYK,NA,ZAP70
SYK,-6.597744360902256,23,PTM-SEA,0.4883720930232558,2,TK,SYK,NA,SYK
MAP2K4,21.45187673047223,17,PTM-SEA,0.627906976744186,3,STE,STE7,MEK4,MAP2K4
MAP2K3,0,26,PTM-SEA,0,1,STE,STE7,MEK3,MAP2K3
BMX,-57.349624060150376,2,PTM-SEA,0.9767441860465116,4,TK,TEC,NA,BMX
JAK3,5.763829927018353,24,PTM-SEA,0.46511627906976744,2,TK,JAKA,NA,JAK3
MAP2K6,0,26,PTM-SEA,0,1,STE,STE7,MEK3,MAP2K6
EPHA4,0,26,PTM-SEA,0,1,TK,EPH,NA,EPHA4
MAP2K1,-57.065772086410846,3,PTM-SEA,0.9534883720930233,4,STE,STE7,MEK1,MAP2K1
MST1R,0,26,PTM-SEA,0,1,TK,MET,NA,MST1R
ITK,10.554196022814688,22,PTM-SEA,0.5116279069767442,3,TK,TEC,NA,ITK
PTK6,-57.965396252928635,1,PTM-SEA,1,4,TK,SRC,SRM,PTK6
PTK2B,0,26,PTM-SEA,0,1,TK,FAK,NA,PTK2B
ERBB4,0,26,PTM-SEA,0,1,TK,EGFR,NA,ERBB4
NTRK2,26.590909090909086,11,PTM-SEA,0.7674418604651163,4,TK,TRK,NA,NTRK2
MAP3K5,0,26,PTM-SEA,0,1,STE,STE11,ASK,MAP3K5
ALK,0,26,PTM-SEA,0,1,TK,ALK,NA,ALK
AAK1,291,269,KEA3,0.07714285714285714,1,OTHER,NAK,BIKE,AAK1
ABL1,33.666666666666664,22,KEA3,0.9342857142857143,4,TK,ABL,NA,ABL1
ABL2,89.33333333333333,84,KEA3,0.7228571428571429,3,TK,ABL,NA,ABL2
ACVR1,186,192,KEA3,0.3457142857142857,2,TKL,STKR,TYPE1,ACVR1
ACVR1B,197,198,KEA3,0.32571428571428573,2,TKL,STKR,TYPE1,ACVR1B
ACVR2B,40,27,KEA3,0.9114285714285715,4,TKL,STKR,TYPE2,ACVR2B
AKT1,64.33333333333333,54,KEA3,0.8228571428571428,4,AGC,AKT,NA,AKT1
AKT2,125,128,KEA3,0.5742857142857143,3,AGC,AKT,NA,AKT2
AKT3,174,178,KEA3,0.3942857142857143,2,AGC,AKT,NA,AKT3
ALK,32,19,KEA3,0.9428571428571428,4,TK,ALK,NA,ALK
ARAF,51,37,KEA3,0.8742857142857143,4,TKL,RAF,RAF,ARAF
ATM,113,115,KEA3,0.6228571428571429,3,ATYPICAL,PIKK,ATM,ATM
ATR,100.33333333333333,102,KEA3,0.6685714285714286,3,ATYPICAL,PIKK,ATR,ATR
AURKA,126.66666666666667,129,KEA3,0.5657142857142857,3,OTHER,AUR,NA,AURKA
AURKB,89.33333333333333,84,KEA3,0.7228571428571429,3,OTHER,AUR,NA,AURKB
AURKC,185.5,191,KEA3,0.3514285714285714,2,OTHER,AUR,NA,AURKC
AXL,139,143,KEA3,0.52,3,TK,AXL,NA,AXL
BLK,248,237,KEA3,0.18,1,TK,SRC,SRCB,BLK
BMP2K,328,287,KEA3,0.025714285714285714,1,OTHER,NAK,BIKE,BMP2K
BMPR1A,114.5,118,KEA3,0.6114285714285714,3,TKL,STKR,TYPE1,BMPR1A
BMPR1B,123,126,KEA3,0.58,3,TKL,STKR,TYPE1,BMPR1B
BMPR2,212,209,KEA3,0.2857142857142857,2,TKL,STKR,TYPE2,BMPR2
BMX,56.333333333333336,44,KEA3,0.8542857142857143,4,TK,TEC,NA,BMX
BRAF,170,173,KEA3,0.4114285714285714,2,TKL,RAF,RAF,BRAF
BRSK1,227,222,KEA3,0.22857142857142856,1,CAMK,CAMKL,BRSK,BRSK1
BRSK2,318,280,KEA3,0.045714285714285714,1,CAMK,CAMKL,BRSK,BRSK2
BTK,68.66666666666667,58,KEA3,0.8114285714285714,4,TK,TEC,NA,BTK
BUB1,191.5,195,KEA3,0.33714285714285713,2,OTHER,BUB,NA,BUB1
CAMK1,199,201,KEA3,0.3171428571428571,2,CAMK,CAMK1,NA,CAMK1
CAMK1D,242.5,234,KEA3,0.18857142857142858,1,CAMK,CAMK1,NA,CAMK1D
CAMK2A,93.66666666666667,92,KEA3,0.6971428571428572,3,CAMK,CAMK2,NA,CAMK2A
